name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,ProductID
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress","[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']","[$ 367.99, $ 471.99, $ 471.99, $ 487.99, $ 487.99, $ 599.99, $ 599.99]",4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,1
"Beautyrest BR800 12"" Medium Mattress","[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_BR800_12_Medium_Mattress/image_1.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_2.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_3.jpg']","[$ 359.99, $ 383.99, $ 383.99, $ 399.99, $ 399.99, $ 519.99, $ 519.99]",4,2134,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,Yes,Yes,Yes,Yes,Yes,No,2
"Beautyrest Silver® BRS900 11.75"" Extra Firm Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_Silver®_BRS900_11.75_Extra_Firm_Mattress/image_1.jpg', 'images/Beautyrest_Silver®_BRS900_11.75_Extra_Firm_Mattress/image_2.jpg']","[$ 462.99, $ 524.99, $ 524.99, $ 539.99, $ 655.99, $ 655.99]",4.2,2066,Extra Firm,Back and Stomach Sleepers,Innerspring,"11.75""",Yes,Yes,Yes,Yes,Yes,Yes,No,3
Sleepy's By Sealy Memory Foam Medium Mattress,"[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Sleepys_By_Sealy_Memory_Foam_Medium_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Medium_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Medium_Mattress/image_3.jpg']","[$ 244.99, $ 279.99, $ 349.99, $ 391.99, $ 461.99, $ 461.99]",4.3,1813,Medium,"Side, Stomach and Back Sleepers",Memory Foam,"10""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
"Nectar Classic 12"" Firm Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Nectar_Classic_12_Firm_Memory_Foam_Mattress/image_1.jpg', 'images/Nectar_Classic_12_Firm_Memory_Foam_Mattress/image_2.jpg']","[$ 349.99, $ 549.99, $ 599.99, $ 649.99, $ 849.99, $ 849.99]",4,17,Firm," Back and Stomach Sleepers, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,5
"Beautyrest BR800 13.5"" Medium Pillow Top Mattress","[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_BR800_13.5_Medium_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Medium_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Medium_Pillow_Top_Mattress/image_3.jpg']","[$ 367.99, $ 471.99, $ 471.99, $ 487.99, $ 487.99, $ 599.99, $ 599.99]",4.1,1085,Medium,"Side, Stomach and Back Sleepers",Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,6
"Sealy Posturepedic® Hybrid Lacey 13"" Firm Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Hybrid_Lacey_13_Firm_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Hybrid_Lacey_13_Firm_Mattress/image_2.jpg', 'images/Sealy_Posturepedic®_Hybrid_Lacey_13_Firm_Mattress/image_3.jpg']","[$ 531.99, $ 567.99, $ 638.99, $ 679.99, $ 827.99, $ 827.99, $ 567.99]",4.6,2149,Firm,Back and Stomach Sleepers,Hybrid,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,7
Sleepy's By Sealy® Medium Euro Top Mattress,"[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Sleepys_By_Sealy®_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy®_Medium_Euro_Top_Mattress/image_2.jpg']","[$ 449.99, $ 499.99, $ 549.99, $ 599.99, $ 599.99, $ 799.99, $ 799.99]",4.3,2431,Medium,"Side, Stomach and Back Sleepers",Innerspring,"10.5""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Sleepy's Basic Innerspring Firm Mattress,"[“Twin”, “Full”,“Queen”, “King”]","['images/Sleepys_Basic_Innerspring_Firm_Mattress/image_1.jpg', 'images/Sleepys_Basic_Innerspring_Firm_Mattress/image_2.jpg', 'images/Sleepys_Basic_Innerspring_Firm_Mattress/image_3.jpg']","[$ 159.99, $ 179.99, $ 209.99, $ 259.99]",4.1,7407,Firm,Back and Stomach Sleepers,Innerspring,"8.25""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Serta Perfect Sleeper® Charlotte 2.0 Medium Euro Top Mattress,"[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Charlotte_2.0_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Charlotte_2.0_Medium_Euro_Top_Mattress/image_2.jpg']","[$ 499.99, $ 549.99, $ 549.99, $ 599.99, $ 749.99, $ 749.99]",4.3,1146,Medium,"Side, Stomach and Back Sleepers",Innerspring,"10.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,10
"Tulo Bamboo 10"" Medium Plush Green Tea Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”]","['images/Tulo_Bamboo_10_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_10_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_10_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_3.jpg']","[$ 215.99, $ 223.99, $ 261.99, $ 299.99, $ 337.99]",4.2,4571,Medium,"Side, Stomach and Back Sleepers",Memory Foam,"10""",No,No,Yes,Yes,Yes,Yes,Yes,11
"Tulo Bamboo 12"" Medium Plush Green Tea Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”]","['images/Tulo_Bamboo_12_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_12_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_12_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_3.jpg']","[$ 250.99, $ 262.99, $ 314.99, $ 346.99, $ 406.99]",4.2,4571,Medium,"Side, Stomach and Back Sleepers",Memory Foam,"12""",No,No,Yes,Yes,Yes,Yes,Yes,12
"Beautyrest PressureSmart™ 2.0 Plush 11.75"" Mattress","[“Split Cal King”, “Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_PressureSmart™_2.0_Plush_11.75_Mattress/image_1.jpg', 'images/Beautyrest_PressureSmart™_2.0_Plush_11.75_Mattress/image_2.jpg']","[$ 999.99, $ 799.99, $ 999.99, $ 1049.99, $ 1049.99, $ 1049.99, $ 1449.99, $ 1449.99]",4.2,3439,Plush,Side Sleepers,Innerspring,"11.75""",Yes,Yes,Yes,Yes,Yes,Yes,No,13
"Sealy Posturepedic® Hybrid Yesrman 12"" Medium Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Hybrid_Yesrman_12_Medium_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Hybrid_Yesrman_12_Medium_Mattress/image_2.jpg']","[$ 899.99, $ 999.99, $ 999.99, $ 1099.99, $ 1299.99, $ 1299.99, $ 999.99]",4.4,3437,Medium,"Side, Stomach and Back Sleepers",Hybrid,"12""",Yes,Yes,Yes,Yes,Yes,Yes,No,14
