name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,Unnamed: 17
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress",Twin,"['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']",367.99,4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress",Twin XL,"['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']",471.99,4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress",Full,"['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']",471.99,4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress",Full XL,"['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']",487.99,4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress",Queen,"['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']",487.99,4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress",King,"['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']",599.99,4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress",Cal King,"['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']",599.99,4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 12"" Medium Mattress",Twin,"['images/Beautyrest_BR800_12_Medium_Mattress/image_1.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_2.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_3.jpg']",359.99,4,2134,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 12"" Medium Mattress",Twin XL,"['images/Beautyrest_BR800_12_Medium_Mattress/image_1.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_2.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_3.jpg']",383.99,4,2134,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,Yes,Yes,Yes,Yes,Yes,No,
"Beautyrest BR800 12"" Medium Mattress",Full,"['images/Beautyrest_BR800_12_Medium_Mattress/image_1.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_2.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_3.jpg']",383.99,4,2134,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,Yes,Yes,Yes,Yes,Yes,No,
